route_id,route2,type2,veh_size,carrier,routetype,feature,lim_up,lim_down,buslane,capacity,lot
305,1,bus,БК,ПАТ,город,,,,,60,pat
1062,1,trolley,БК,ГЭТ,город,,,минимум,,60,get_tb
1338,2,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1904,2,trolley,ТУАХ,ГЭТ,город,,нет ТУАХ ОБК,,,60,get_tb
1329,3,bus,ОБК/БК,ПАТ,город,,,,,80,pat
3646,3,tram,ЛМ/ЛВС,ГЭТ,город,,,,,110,get_tm
1068,3,trolley,БК,ГЭТ,город,,,,,60,get_tb
2093,4,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,7
1067,4,trolley,БК,ГЭТ,город,,,минимум,,60,get_tb
1545,5,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,6
1064,5,trolley,БК,ГЭТ,город,,,,,60,get_tb
306,6,bus,БК,ПАТ,город,,,,,60,pat
1105,6,tram,ЛМ/ЛВС,ГЭТ,город,,,,,110,get_tm
1063,6,trolley,БК,ГЭТ,город,,,,,60,get_tb
345,7,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1106,7,tram,ЛМ,ГЭТ,город,доп,,минимум,,90,get_tm
1065,7,trolley,БК,ГЭТ,город,,,минимум,,60,get_tb
346,8,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1109,8,tram,Штадлер,ТКК,город,,максимум,минимум,есть,180,tkk
1066,8,trolley,БК,ГЭТ,город,,,минимум,,60,get_tb
307,9,bus,БК,ПАТ,город,,,,,60,pat
1107,9,tram,ЛВС,ГЭТ,город,,максимум,,,140,get_tm
1069,9,trolley,БК,ГЭТ,город,,,минимум,,60,get_tb
1669,10,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
1108,10,tram,ЛМ/ЛВС,ГЭТ,город,,,,,110,get_tm
1072,10,trolley,БК,ГЭТ,город,,,,,60,get_tb
1306,11,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1070,11,trolley,БК,ГЭТ,город,,,,,60,get_tb
385,12,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1292,13,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1071,13,trolley,БК,ГЭТ,город,,,,,60,get_tb
1670,14,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
1073,14,trolley,БК,ГЭТ,город,,,,,60,get_tb
228,15,bus,СК,ПАТ,город,,,минимум,,40,pat
1074,15,trolley,БК,ГЭТ,город,,,минимум,,60,get_tb
1601,16,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,10
1110,16,tram,ЛМ,ГЭТ,город,,,минимум,,90,get_tm
1075,16,trolley,БК,ГЭТ,город,,,минимум,,60,get_tb
1481,17,bus,СК,"ООО ""Домтрансавто""",город,пром,,минимум,,40,4
1076,17,trolley,ТУАХ,ГЭТ,город,,нет ТУАХ ОБК,минимум,,60,get_tb
1671,18,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,5
1112,18,tram,ЛВС,ГЭТ,город,,максимум,,,140,get_tm
1077,18,trolley,ТУАХ,ГЭТ,город,,нет ТУАХ ОБК,,,60,get_tb
1111,19,tram,ЛМ,ГЭТ,город,,,минимум,,90,get_tm
1265,20,bus,БК,ПАТ,ГП,,,,,60,pat
1113,20,tram,ЛВС,ГЭТ,город,,максимум,,,140,get_tm
1078,20,trolley,БК/ОБК,ГЭТ,город,,,,,70,get_tb
347,21,bus,СК,"АО ""Третий парк""",город,,,минимум,,40,2
1117,21,tram,ЛМ/ЛВС,ГЭТ,город,,,,,110,get_tm
